iter	Passed	Remaining
153	482	2648
154	483	2636
155	485	2624
156	486	2612
157	487	2599
158	489	2587
159	490	2575
160	491	2560
161	492	2548
162	493	2536
163	495	2528
164	497	2517
165	498	2506
166	500	2496
167	501	2485
168	503	2474
169	504	2464
170	506	2455
171	507	2445
172	510	2438
173	511	2429
174	513	2419
175	514	2410
176	516	2400
177	517	2390
178	519	2380
179	520	2371
180	522	2362
181	523	2353
182	525	2347
183	527	2338
184	528	2329
185	530	2320
186	532	2314
187	534	2306
188	535	2298
189	537	2290
190	538	2282
191	541	2277
192	542	2270
193	544	2261
194	546	2254
195	547	2246
196	549	2238
197	550	2229
198	551	2220
199	552	2210
200	553	2201
201	554	2192
202	556	2185
203	557	2176
204	558	2166
205	559	2158
206	561	2149
207	562	2141
208	563	2132
209	564	2123
210	565	2114
211	566	2105
212	567	2096
213	568	2087
214	569	2078
215	570	2070
216	572	2065
217	573	2058
218	575	2051
219	576	2042
220	577	2034
221	578	2027
222	579	2019
223	580	2011
224	581	2003
225	582	1995
226	583	1987
227	584	1980
228	586	1973
229	587	1967
230	588	1960
231	589	1952
232	591	1945
233	592	1938
234	593	1931
235	594	1923
236	595	1916
237	596	1909
238	597	1901
239	598	1894
240	599	1887
241	600	1881
242	602	1876
243	603	1869
244	604	1863
245	605	1856
246	606	1849
247	607	1842
248	608	1836
249	609	1829
250	610	1822
251	611	1815
252	612	1808
253	613	1802
254	614	1795
255	615	1789
256	616	1783
257	618	1777
258	619	1772
259	620	1767
260	622	1761
261	623	1755
262	624	1749
263	625	1743
264	626	1737
265	627	1731
266	628	1725
267	629	1719
268	630	1714
269	632	1709
270	633	1704
271	634	1698
272	635	1693
273	637	1688
274	638	1683
275	639	1678
276	640	1672
277	641	1666
278	642	1661
279	643	1655
280	645	1650
281	646	1645
282	647	1641
283	649	1636
284	650	1631
285	651	1625
286	652	1620
287	653	1615
288	654	1609
289	655	1604
290	656	1598
291	657	1593
292	658	1588
293	659	1583
294	660	1578
295	661	1573
296	662	1568
297	664	1564
298	665	1559
299	666	1555
300	667	1550
301	668	1545
302	669	1540
303	670	1535
304	671	1530
305	672	1525
306	673	1520
307	674	1515
308	675	1511
309	676	1506
310	678	1503
311	679	1499
312	681	1494
313	682	1490
314	683	1486
315	684	1481
316	685	1477
317	686	1472
318	687	1468
319	688	1463
320	689	1459
321	690	1454
322	692	1450
323	693	1447
324	695	1443
325	696	1439
326	697	1435
327	698	1431
328	699	1427
329	700	1422
330	702	1419
331	703	1414
332	704	1410
333	705	1405
334	706	1401
335	707	1397
336	709	1395
337	710	1391
338	711	1387
339	712	1383
340	713	1378
341	714	1374
342	715	1370
343	716	1366
344	717	1362
345	718	1357
346	719	1353
347	720	1349
348	721	1345
349	723	1342
350	724	1339
351	725	1336
352	727	1332
353	728	1329
354	729	1326
355	730	1322
356	731	1318
357	733	1314
358	734	1310
359	735	1306
360	736	1302
361	737	1299
362	738	1296
363	740	1293
364	741	1289
365	742	1285
366	743	1282
367	744	1279
368	746	1275
369	747	1272
370	748	1268
371	749	1265
372	750	1261
373	751	1257
374	752	1254
375	753	1250
376	755	1248
377	757	1245
378	758	1242
379	759	1238
380	760	1235
381	761	1232
382	762	1228
383	764	1225
384	764	1221
385	765	1218
386	766	1214
387	767	1210
388	769	1208
389	770	1205
390	771	1202
391	773	1198
392	774	1195
393	775	1192
394	776	1189
395	777	1185
396	778	1182
397	779	1178
398	780	1175
399	781	1172
400	782	1169
401	784	1166
402	785	1163
403	787	1161
404	788	1158
405	789	1154
406	790	1152
407	791	1148
408	792	1145
409	793	1142
410	794	1139
411	795	1135
412	796	1132
413	797	1129
414	798	1126
415	800	1123
416	807	1128
417	808	1126
418	810	1123
419	811	1120
420	812	1116
421	813	1114
422	815	1112
423	816	1109
424	818	1107
425	820	1105
426	822	1103
427	824	1101
428	825	1098
429	827	1096
430	830	1096
431	832	1094
432	833	1091
433	835	1089
434	836	1086
435	837	1083
436	838	1080
437	840	1077
438	841	1075
439	842	1072
440	844	1070
441	846	1068
442	848	1066
443	849	1063
444	850	1061
445	851	1058
446	852	1054
447	853	1051
448	854	1048
449	855	1046
450	856	1042
451	857	1040
452	858	1036
453	859	1033
454	861	1031
